"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","498.5","337.1","3,830.1","28.6","12.3","120.7","594.8","11.7","4.1","376.9"
"Jayden Daniels","WAS","495.1","322.2","3,667.1","24.7","11.0","135.5","707.4","5.1","2.8","330.1"
"Lamar Jackson","BAL","434.6","284.5","3,610.0","29.4","10.4","114.1","636.6","3.3","4.2","327.0"
"Drake Maye","NE","504.0","345.6","4,026.1","27.4","11.1","102.0","540.8","4.0","5.6","326.7"
"Jalen Hurts","PHI","485.4","315.5","3,581.2","24.7","7.6","112.1","463.8","8.6","4.0","324.3"
"Jaxson Dart","NYG","506.0","321.9","3,605.4","23.5","12.1","99.9","542.7","6.8","2.9","315.1"
"Brock Purdy","SF","543.9","366.5","4,157.8","28.5","14.9","73.2","313.1","4.3","4.3","314.0"
"Joe Burrow","CIN","593.8","396.2","4,180.4","33.4","12.5","41.9","177.0","1.5","1.9","311.5"
"Dak Prescott","DAL","584.9","386.9","4,284.3","31.4","12.0","51.1","180.0","2.1","2.8","309.7"
"Trevor Lawrence","JAC","547.3","334.9","3,862.9","27.5","14.0","75.2","330.8","5.4","3.4","309.1"
"Patrick Mahomes II","KC","558.6","355.5","3,838.0","27.6","11.8","62.0","381.2","3.6","2.0","307.6"
"Justin Herbert","LAC","528.0","349.2","3,816.7","26.8","12.0","80.7","475.0","2.1","2.8","302.4"
"Caleb Williams","CHI","552.2","322.3","3,801.9","27.1","10.0","74.6","391.4","2.1","3.0","296.5"
"Matthew Stafford","LAR","548.2","349.4","4,164.9","34.5","8.3","27.0","38.7","0.3","2.8","296.4"
"Bo Nix","DEN","570.0","364.4","3,697.1","26.7","10.6","77.6","330.7","3.5","2.0","293.8"
"Baker Mayfield","TB","539.8","346.7","3,888.1","27.3","13.3","56.5","360.1","1.7","3.7","290.3"
"Daniel Jones","IND","531.1","346.0","3,851.5","25.3","11.6","63.5","239.7","4.4","3.8","286.6"
"Jared Goff","DET","533.9","368.1","4,221.2","31.5","10.0","24.1","46.8","0.3","3.7","284.2"
"Tyler Shough","NO","551.4","363.0","3,939.4","22.2","12.6","70.3","305.2","4.1","3.6","281.8"
"Malik Willis","MIA","486.4","320.0","3,340.8","19.0","13.8","124.6","633.2","4.2","6.2","272.2"
"Kyler Murray","MIN","484.8","318.5","3,369.6","23.1","15.5","76.9","466.6","3.6","3.8","272.1"
"C.J. Stroud","HOU","561.7","351.7","3,937.9","24.6","12.0","56.0","249.0","1.0","3.5","268.2"
"Jordan Love","GB","501.7","325.5","3,837.8","27.0","10.4","48.2","199.9","0.5","3.0","268.0"
"Sam Darnold","SEA","505.1","336.6","4,062.4","28.0","12.7","46.0","134.7","0.4","5.3","267.3"
"Bryce Young","CAR","514.5","323.1","3,370.4","21.2","14.1","59.9","269.2","2.6","3.0","241.8"
"Jacoby Brissett","ARI","553.0","353.1","3,573.8","19.9","10.1","51.6","233.8","1.7","4.8","236.0"
"Geno Smith","NYJ","510.1","335.3","3,368.7","22.1","15.2","58.0","235.9","1.0","2.2","233.3"
"Cam Ward","TEN","547.1","335.5","3,452.4","19.2","9.7","42.8","177.2","2.5","5.4","227.3"
"Aaron Rodgers","PIT","521.9","332.4","3,413.8","21.4","10.1","24.6","83.2","0.9","2.8","220.7"
"Fernando Mendoza","LV","430.2","280.7","2,848.1","16.9","13.2","51.6","233.6","1.5","2.7","195.4"
"Deshaun Watson","CLE","409.5","247.5","2,587.2","14.5","10.2","56.5","255.3","2.0","4.2","180.1"
"Tua Tagovailoa","ATL","382.6","251.0","2,811.9","17.3","9.0","20.5","49.2","0.1","2.3","173.9"
"Michael Penix Jr.","ATL","174.6","110.9","1,245.4","6.7","3.6","12.7","47.1","0.4","1.0","78.3"
"Shedeur Sanders","CLE","142.3","89.2","975.5","4.3","3.7","14.0","75.7","0.3","0.8","60.4"
"Kirk Cousins","LV","112.9","74.3","746.6","4.2","3.3","6.3","9.3","0.1","0.9","43.1"
"J.J. McCarthy","MIN","51.9","33.2","369.2","2.3","1.6","7.0","31.9","0.3","0.4","26.6"
"Ty Simpson","LAR","40.9","25.8","298.2","2.6","0.8","4.1","18.4","0.0","0.1","23.4"
"Carson Beck","ARI","41.6","26.4","285.6","1.9","0.8","4.3","18.5","0.2","0.2","20.4"
"Marcus Mariota","WAS","34.8","22.2","257.1","2.0","0.8","1.4","7.9","0.0","0.1","18.1"
"Joe Milton III","DAL","23.9","15.4","170.7","1.1","0.2","3.2","13.4","0.0","0.1","12.2"
"Shane Buechele","BUF","20.0","14.0","151.0","1.0","0.0","4.0","20.0","0.0","0.0","12.0"
"Jarrett Stidham","DEN","23.1","14.4","152.7","1.1","0.3","3.3","12.9","0.0","0.1","11.3"
"Jake Browning","TB","22.5","14.3","157.4","1.0","0.9","3.1","15.7","0.0","0.1","11.2"
"Will Levis","TEN","22.0","13.0","129.0","1.0","0.0","4.0","19.0","0.0","0.0","11.1"
"Teddy Bridgewater","DET","21.8","13.7","157.9","1.0","0.4","3.1","8.9","0.0","0.0","11.0"
"Tyson Bagent","CHI","21.5","13.6","154.5","1.0","0.3","3.3","10.0","0.0","0.1","11.0"
"Justin Fields","KC","21.8","13.4","144.1","1.0","0.7","3.4","18.1","0.1","0.1","10.9"
"Tommy DeVito","NE","22.5","14.7","149.8","1.0","0.4","1.9","9.5","0.1","0.1","10.6"
"Tyler Huntley","BAL","17.8","11.8","130.3","0.9","0.3","3.5","18.7","0.0","0.1","10.6"
"Davis Mills","HOU","23.2","14.1","153.7","0.9","0.3","3.0","11.4","0.0","0.1","10.5"
"Trey Lance","LAC","22.2","13.6","148.7","1.0","0.8","3.2","13.4","0.0","0.1","10.4"
"Tanner McKee","PHI","20.3","12.9","141.1","1.0","0.2","3.0","9.9","0.0","0.0","10.3"
"Mason Rudolph","PIT","22.2","14.0","149.4","0.9","0.3","2.6","10.6","0.0","0.1","10.3"
"Joe Flacco","CIN","24.8","16.1","168.7","1.2","0.8","2.2","8.6","0.0","0.6","10.3"
"Mac Jones","SF","22.7","14.9","156.4","1.0","0.8","3.0","10.1","0.0","0.1","10.3"
"Spencer Rattler","NO","23.0","15.0","156.7","0.9","0.8","2.7","12.1","0.0","0.1","10.2"
"Riley Leonard","IND","22.4","14.3","160.1","0.9","0.3","3.1","12.7","0.0","0.6","10.1"
"Drew Lock","SEA","20.6","13.0","146.6","0.9","0.8","3.1","13.1","0.0","0.1","10.0"
"Andy Dalton","PHI","19.0","13.0","140.0","1.0","0.0","5.0","23.0","0.0","1.0","9.9"
"Behren Morton","NE","15.0","10.0","121.0","1.0","0.0","2.0","10.0","0.0","0.0","9.8"
"Kenny Pickett","CAR","21.2","13.5","138.7","0.9","0.7","2.7","12.9","0.0","0.1","9.8"
"Nick Mullens","JAC","18.8","13.2","139.7","1.1","0.4","3.1","3.7","0.0","0.1","9.8"
"Seth Henigan","IND","16.0","11.0","121.0","1.0","0.0","2.0","9.0","0.0","0.0","9.7"
