"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Bijan Robinson","ATL","294.4","1,437.3","9.7","77.2","753.2","3.7","1.8","373.3"
"Jahmyr Gibbs","DET","267.6","1,337.5","14.6","70.4","584.8","4.2","1.1","373.1"
"Christian McCaffrey","SF","258.3","1,043.6","8.8","74.2","658.7","5.0","1.1","325.1"
"Jonathan Taylor","IND","342.9","1,544.6","13.3","47.7","345.6","1.6","1.7","322.8"
"De'Von Achane","MIA","243.9","1,221.7","6.1","70.4","531.4","4.4","1.0","306.7"
"Chase Brown","CIN","237.9","1,024.3","8.2","68.1","451.1","3.9","1.1","286.0"
"Ashton Jeanty","LV","286.5","1,093.1","8.5","60.0","417.6","4.0","1.1","284.1"
"Derrick Henry","BAL","310.3","1,565.4","14.0","18.7","185.7","1.1","1.7","281.1"
"James Cook III","BUF","293.5","1,417.0","10.0","34.0","285.0","1.8","2.4","270.1"
"Saquon Barkley","PHI","303.0","1,346.8","7.8","41.1","334.1","2.1","1.0","267.0"
"Josh Jacobs","GB","292.1","1,164.7","13.0","36.0","287.6","1.3","1.3","264.6"
"Omarion Hampton","LAC","245.2","1,045.4","10.4","51.5","346.4","1.9","1.1","262.4"
"Breece Hall","NYJ","259.7","1,156.3","7.3","47.5","414.9","2.4","1.7","258.9"
"Jeremiyah Love","ARI","234.4","1,077.5","7.3","53.6","421.8","2.1","2.2","255.9"
"Kenneth Walker III","KC","252.6","1,149.8","8.0","46.5","358.5","0.8","0.9","248.1"
"Cam Skattebo","NYG","234.5","1,001.7","8.1","45.6","362.3","2.8","1.6","244.3"
"Kyren Williams","LAR","242.7","1,122.6","10.4","33.7","236.9","2.3","1.6","242.8"
"Travis Etienne Jr.","NO","255.5","1,053.7","5.5","45.8","367.1","3.5","1.0","240.2"
"Javonte Williams","DAL","260.9","1,174.7","11.1","33.1","179.8","1.3","1.6","239.2"
"Bucky Irving","TB","262.3","1,043.0","5.9","41.4","357.3","2.4","1.0","229.6"
"D'Andre Swift","CHI","233.7","1,055.7","8.6","32.6","291.3","1.1","1.0","223.2"
"Quinshon Judkins","CLE","296.2","1,106.4","8.6","31.9","225.5","0.4","0.9","217.2"
"Bhayshul Tuten","JAC","236.3","961.4","8.9","24.8","188.5","2.2","2.2","201.9"
"Rico Dowdle","PIT","216.7","948.9","6.7","33.6","238.9","1.5","1.0","200.0"
"TreVeyon Henderson","NE","189.5","879.0","6.9","38.1","253.9","1.3","0.9","198.8"
"Chuba Hubbard","CAR","221.3","887.2","5.0","39.0","272.8","2.3","1.5","196.0"
"Jaylen Warren","PIT","186.3","812.3","5.2","43.1","318.9","1.7","0.9","195.9"
"Rhamondre Stevenson","NE","176.2","752.5","6.8","36.7","332.3","1.9","2.1","193.3"
"Jadarian Price","SEA","224.2","942.9","7.9","24.2","222.2","1.2","2.0","191.2"
"Tony Pollard","TEN","243.6","1,055.5","5.8","30.9","191.7","0.2","2.1","187.6"
"David Montgomery","HOU","225.6","919.3","7.5","28.3","215.5","0.3","1.0","186.4"
"RJ Harvey","DEN","135.2","506.8","4.9","47.9","353.8","3.8","0.8","184.8"
"Kenneth Gainwell","TB","116.0","507.8","4.2","55.9","391.2","2.5","0.9","184.4"
"Aaron Jones Sr.","MIN","168.4","721.4","3.3","43.0","321.0","2.0","1.6","176.4"
"J.K. Dobbins","DEN","226.4","1,046.7","6.4","19.6","96.1","0.4","0.7","173.3"
"Kyle Monangai","CHI","199.0","838.5","5.7","24.3","207.5","0.6","0.7","165.7"
"Rachaad White","WAS","139.9","638.6","5.5","36.5","235.0","1.4","0.8","164.1"
"Jacory Croskey-Merritt","WAS","187.6","853.0","7.7","11.3","81.0","0.2","1.7","149.1"
