"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Trey McBride","ARI","113.4","1,077.7","6.8","0.2","261.4"
"Brock Bowers","LV","93.2","993.1","7.8","0.2","238.8"
"Colston Loveland","CHI","80.4","948.4","7.0","0.2","217.0"
"Tyler Warren","IND","85.3","887.8","5.6","0.3","207.0"
"Kyle Pitts Sr.","ATL","81.0","896.2","5.1","0.1","201.1"
"Harold Fannin Jr.","CLE","79.6","823.8","5.6","0.8","193.9"
"Sam LaPorta","DET","75.1","846.9","5.7","0.2","193.6"
"Dallas Goedert","PHI","67.8","703.0","8.3","0.2","187.5"
"Travis Kelce","KC","75.6","789.3","5.2","0.3","185.2"
"George Kittle","SF","67.8","770.4","6.1","0.1","181.1"
"Tucker Kraft","GB","60.0","772.5","7.0","0.2","178.8"
"Isaiah Likely","NYG","66.4","789.4","5.6","1.3","176.1"
"Jake Ferguson","DAL","75.7","619.5","6.4","1.4","173.3"
"Dalton Kincaid","BUF","59.1","730.7","5.7","0.2","166.1"
"Mark Andrews","BAL","57.0","586.9","8.1","0.3","163.5"
"Brenton Strange","JAC","64.5","701.1","4.5","0.2","161.2"
"Juwan Johnson","NO","67.2","750.8","3.4","1.3","159.9"
"Hunter Henry","NE","56.9","674.3","5.6","0.1","157.7"
"Dalton Schultz","HOU","65.3","622.1","3.5","0.2","148.4"
"Kenyon Sadiq","NYJ","57.0","609.1","5.2","0.7","147.5"
"T.J. Hockenson","MIN","65.9","576.5","3.4","0.2","143.6"
"Cade Otton","TB","57.5","594.3","3.2","0.1","136.1"
"Pat Freiermuth","PIT","53.0","557.8","3.9","0.2","131.5"
"Greg Dulcich","MIA","53.5","607.3","2.8","1.2","128.4"
"Chig Okonkwo","WAS","52.4","576.9","2.6","0.1","125.5"
"Oronde Gadsden II","LAC","47.2","588.3","3.4","0.7","124.9"
"AJ Barner","SEA","45.9","451.7","5.3","0.2","122.4"
"Mike Gesicki","CIN","44.6","465.1","3.8","0.1","113.6"
"Evan Engram","DEN","51.7","466.7","2.6","0.1","113.6"
"Terrance Ferguson","LAR","34.2","507.6","4.5","0.1","111.7"
"Gunnar Helm","TEN","49.9","425.4","3.2","0.2","111.0"
"David Njoku","LAC","37.3","371.3","4.6","0.1","101.6"
"Colby Parkinson","LAR","34.5","366.1","4.3","0.6","95.9"
"Mason Taylor","NYJ","41.8","345.3","2.6","0.1","91.5"
"Michael Mayer","LV","38.4","355.9","1.7","0.1","83.7"
"Dawson Knox","BUF","30.0","329.0","2.9","0.1","80.0"
"Darnell Washington","PIT","33.0","345.0","1.9","0.6","77.8"
"Theo Johnson","NYG","27.6","310.8","3.2","0.1","77.7"
"Tyler Higbee","LAR","27.6","326.7","2.6","0.0","76.0"
"Ja'Tavion Sanders","CAR","32.4","266.7","2.0","0.1","71.1"
"Noah Fant","NO","32.1","299.9","1.5","1.6","67.9"
"Tommy Tremble","CAR","27.3","256.0","2.0","0.1","64.4"
"Will Kacmarek","MIA","26.7","250.9","1.9","0.6","61.9"
"Elijah Arroyo","SEA","24.1","264.1","1.7","0.2","60.4"
"Erick All Jr.","CIN","26.1","227.8","1.6","0.1","58.5"
