"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Puka Nacua","LAR","125.9","1,646.2","9.4","15.5","107.4","1.6","1.0","365.3"
"Jaxon Smith-Njigba","SEA","119.4","1,670.9","10.8","5.8","30.6","0.1","1.1","352.4"
"Ja'Marr Chase","CIN","123.8","1,524.7","10.3","3.5","20.0","0.1","1.0","338.6"
"Amon-Ra St. Brown","DET","116.0","1,397.4","10.7","2.7","10.7","0.1","0.4","320.7"
"Rashee Rice","KC","104.2","1,138.8","11.3","8.1","38.3","1.3","0.6","296.1"
"Drake London","ATL","102.8","1,340.0","10.2","0.0","0.0","0.0","1.0","296.0"
"CeeDee Lamb","DAL","103.0","1,360.9","7.3","3.6","18.8","0.1","0.3","284.4"
"Justin Jefferson","MIN","100.4","1,308.0","6.7","2.0","8.3","0.1","0.3","271.6"
"George Pickens","DAL","87.1","1,255.2","9.1","0.5","-0.5","0.0","0.5","266.2"
"Chris Olave","NO","94.2","1,198.6","8.2","0.5","0.0","0.0","0.3","262.8"
"Malik Nabers","NYG","84.9","1,130.3","9.8","4.2","12.5","0.1","0.4","257.7"
"Nico Collins","HOU","84.4","1,226.0","7.4","2.1","12.4","0.5","0.8","253.9"
"Zay Flowers","BAL","82.9","1,189.2","6.7","9.9","58.6","0.7","1.5","249.5"
"Garrett Wilson","NYJ","96.2","1,082.8","7.2","1.6","6.4","0.0","1.1","246.2"
"A.J. Brown","PHI","80.1","1,115.0","7.4","0.0","0.0","0.0","0.3","235.7"
"DeVonta Smith","PHI","87.7","1,112.2","6.0","0.0","0.0","0.0","0.3","234.2"
"Tee Higgins","CIN","73.6","991.4","9.6","0.0","0.0","0.0","0.2","230.1"
"Tetairoa McMillan","CAR","77.9","1,125.9","6.6","0.0","0.0","0.0","0.9","228.5"
"Terry McLaurin","WAS","74.8","1,007.0","8.4","0.5","0.5","0.0","0.3","225.3"
"Davante Adams","LAR","67.8","933.2","10.3","0.0","0.0","0.0","0.2","222.8"
"Emeka Egbuka","TB","67.8","1,074.3","7.4","2.1","10.9","0.1","0.3","220.7"
"Jameson Williams","DET","63.6","1,053.9","6.4","7.0","42.1","0.8","0.2","215.6"
"Ladd McConkey","LAC","77.3","988.8","6.6","0.0","0.0","0.0","0.3","215.3"
"Rome Odunze","CHI","62.5","996.3","8.7","0.5","2.0","0.0","0.3","214.2"
"Courtland Sutton","DEN","72.7","932.4","7.8","0.0","0.0","0.0","0.2","212.2"
"Alec Pierce","IND","63.0","1,064.8","7.2","0.0","0.0","0.0","0.3","212.2"
"Jaylen Waddle","DEN","75.9","984.1","6.0","2.5","18.6","0.0","0.3","211.7"
"DJ Moore","BUF","68.6","872.7","7.5","11.5","58.5","0.7","0.8","209.3"
"Luther Burden III","CHI","73.4","972.3","5.6","8.6","40.8","0.2","0.3","208.5"
"Marvin Harrison Jr.","ARI","68.9","955.1","6.0","0.0","0.0","0.0","0.3","199.9"
"DK Metcalf","PIT","62.9","919.1","6.1","1.0","5.0","0.5","0.2","194.2"
"Mike Evans","SF","63.2","907.7","6.6","0.0","0.0","0.0","0.2","193.4"
"Jakobi Meyers","JAC","72.9","830.2","5.6","5.5","25.0","0.1","0.8","191.3"
"Parker Washington","JAC","62.3","881.9","6.1","8.0","20.5","0.1","0.4","189.2"
"Michael Pittman Jr.","PIT","82.7","770.9","4.9","0.0","0.0","0.0","0.3","188.7"
"Wan'Dale Robinson","TEN","83.9","825.6","3.0","3.0","14.2","0.1","0.3","185.5"
"Christian Watson","GB","51.5","862.4","7.6","2.6","12.1","0.1","0.3","184.1"
"Chris Godwin Jr.","TB","69.3","795.9","5.4","0.5","0.5","0.0","0.3","180.9"
"Brian Thomas Jr.","JAC","55.5","848.5","5.5","4.0","27.1","0.6","0.2","179.4"
"Carnell Tate","TEN","66.0","896.6","4.3","1.0","4.5","0.0","1.4","179.2"
"Jordyn Tyson","NO","64.2","893.2","4.5","1.0","5.0","0.0","1.3","178.3"
"Quentin Johnston","LAC","55.4","781.3","7.3","2.5","9.4","0.0","0.7","177.0"
"Romeo Doubs","NE","61.3","797.7","6.0","0.0","0.0","0.0","0.3","176.3"
"Michael Wilson","ARI","67.0","808.0","4.6","0.0","1.0","0.0","0.2","175.2"
"Josh Downs","IND","76.8","714.8","4.3","2.0","6.4","0.0","0.8","173.6"
"Jayden Reed","GB","61.7","730.2","4.7","12.5","96.4","0.2","0.4","173.0"
"Khalil Shakir","BUF","72.6","740.0","4.3","1.7","8.3","0.1","0.8","172.2"
"Jordan Addison","MIN","55.3","751.4","5.6","2.5","46.2","0.6","0.2","171.4"
"Ricky Pearsall","SF","60.3","839.9","3.4","4.2","21.2","0.1","0.3","167.0"
"Xavier Worthy","KC","54.1","712.9","4.2","17.2","111.0","0.8","0.2","166.4"
"Makai Lemon","PHI","56.8","803.0","4.7","1.5","7.0","0.0","1.3","163.6"
"Matthew Golden","GB","55.4","747.4","3.9","8.2","40.9","0.1","0.4","157.2"
"John Metchie III","CAR","64.0","598.0","5.0","3.0","-4.0","0.0","0.0","153.8"
"Calvin Ridley","TEN","48.6","784.0","2.9","4.5","28.0","0.6","0.2","150.4"
"Jalen Coker","CAR","56.9","684.0","4.1","0.0","0.0","0.0","0.8","148.1"
"KC Concepcion","CLE","55.7","709.2","3.1","4.2","22.4","0.1","1.3","145.6"
"Jerry Jeudy","CLE","54.7","748.1","2.9","0.5","2.0","0.0","0.7","145.4"
"Theo Wease Jr.","MIA","48.0","685.0","5.0","2.0","8.0","0.0","1.0","145.3"
"Rashid Shaheed","SEA","45.9","697.7","3.2","13.4","88.8","0.3","0.8","143.9"
"Tre Tucker","LV","50.1","633.5","3.8","11.2","52.9","0.2","0.1","142.0"
"Tank Dell","HOU","50.0","633.2","3.8","10.2","48.8","0.1","0.2","141.4"
"Omar Cooper Jr.","NYJ","53.5","644.3","3.8","2.1","12.5","0.1","1.3","139.7"
"Jayden Higgins","HOU","49.3","608.7","4.7","0.0","0.0","0.0","0.2","138.1"
"Jalen McMillan","TB","46.5","608.2","4.4","4.7","26.8","0.1","0.2","136.9"
"Jauan Jennings","MIN","48.8","556.5","5.2","0.0","0.0","0.0","0.7","133.9"
"Rashod Bateman","BAL","38.4","591.8","6.0","0.0","0.0","0.0","0.2","133.1"
"Denzel Boston","CLE","50.5","635.2","3.0","1.0","5.0","0.0","0.8","130.7"
"Antonio Williams","WAS","44.4","601.2","3.6","3.5","18.7","0.1","1.2","126.2"
"Jalen Nailor","LV","42.0","565.9","4.4","2.0","8.5","0.0","0.2","125.7"
"Cooper Kupp","SEA","47.4","583.3","3.4","0.5","1.5","0.0","0.7","125.0"
"Germie Bernard","PIT","44.6","554.2","3.1","2.1","10.8","0.0","0.8","118.4"
"Chris Bell","MIA","44.3","581.5","2.1","0.0","0.0","0.0","0.5","113.9"
"Travis Hunter","JAC","41.6","496.2","3.3","2.0","10.8","0.1","0.4","111.7"
"Darnell Mooney","NYG","38.0","557.7","2.9","1.1","6.0","0.0","0.2","111.5"
"Christian Kirk","SF","39.9","487.7","3.1","0.0","0.0","0.0","0.1","107.1"
"Bub Means","NO","38.0","516.0","3.0","1.0","7.0","0.0","1.0","106.3"
"Caleb Douglas","MIA","39.6","506.8","2.5","1.0","5.5","0.0","0.7","104.6"
"Malik Washington","MIA","42.1","371.2","2.2","13.3","79.3","0.7","0.8","103.2"
"Kayshon Boutte","NE","30.3","469.6","4.0","0.0","0.0","0.0","0.1","101.3"
"Troy Franklin","DEN","36.5","397.4","3.9","3.0","10.8","0.0","0.6","99.7"
"Jack Bech","LV","41.4","483.1","1.8","0.0","0.0","0.0","0.4","99.5"
"Ja'Kobi Lane","BAL","30.4","457.1","3.4","1.5","8.5","0.0","0.6","96.2"
"Darius Slayton","NYG","34.3","502.8","1.9","1.6","8.6","0.0","0.7","95.8"
"Nick Westbrook-Ikhine","IND","34.3","432.7","3.0","0.0","0.0","0.0","0.3","95.1"
"Tory Horton","SEA","30.3","400.4","4.2","0.5","3.0","0.0","0.6","94.3"
"Olamide Zaccheaus","ATL","40.7","392.2","2.3","1.5","9.5","0.0","0.2","94.3"
"Devaughn Vele","NO","35.1","422.8","2.8","0.0","0.0","0.0","0.1","94.2"
"De'Zhaun Stribling","SF","32.6","452.9","2.6","1.5","6.5","0.0","0.6","92.7"
"Ryan Flournoy","DAL","34.0","384.6","2.7","2.2","12.4","0.1","0.4","89.5"
"Tre' Harris","LAC","34.5","407.7","2.5","0.0","0.0","0.0","0.4","89.3"
"Andrei Iosivas","CIN","31.2","392.6","2.9","2.0","11.1","0.0","0.1","88.9"
"Tyquan Thornton","KC","23.8","442.1","3.3","0.0","0.0","0.0","0.1","87.5"
"Isaac TeSlaa","DET","25.4","352.3","4.1","0.0","0.0","0.0","0.1","85.1"
"Dyami Brown","WAS","29.9","394.7","2.7","0.0","0.0","0.0","0.3","84.9"
"Ted Hurst III","TB","28.8","390.6","2.6","1.0","6.5","0.0","0.6","82.7"
"Mack Hollins","NE","29.4","377.9","2.4","0.5","1.5","0.0","0.0","81.6"
"Adonai Mitchell","NYJ","26.6","382.3","2.3","2.2","11.1","0.1","0.3","79.7"
"Hollywood Brown","PHI","26.3","323.8","2.8","0.0","0.0","0.0","0.1","75.0"
"Van Jefferson","WAS","28.0","357.8","1.9","0.0","0.0","0.0","0.2","75.0"
"Jalen Tolbert","MIA","30.1","364.3","1.4","0.0","0.0","0.0","0.3","74.5"
"Ashton Dulin","IND","22.5","378.9","1.5","5.1","46.2","0.1","0.1","74.1"
"Chimere Dike","TEN","25.1","240.3","3.3","10.6","34.1","0.3","0.6","72.6"
"Pat Bryant","DEN","28.5","319.6","2.1","0.0","0.0","0.0","0.3","72.5"
"Xavier Hutchinson","HOU","26.4","320.6","2.1","2.1","14.2","0.0","0.1","72.2"
"Xavier Legette","CAR","26.6","307.9","2.1","2.1","10.8","0.1","0.3","70.7"
"Joshua Palmer","BUF","25.9","337.7","1.6","0.0","0.0","0.0","0.1","69.3"
"Savion Williams","GB","23.9","272.1","2.0","9.0","47.0","0.3","0.3","69.1"
"Keon Coleman","BUF","22.5","309.4","2.6","0.0","0.0","0.0","0.2","68.5"
"Jahan Dotson","ATL","25.4","318.9","1.7","0.0","0.0","0.0","0.2","66.9"
"Marvin Mims Jr.","DEN","24.2","272.4","1.6","8.2","45.0","0.3","0.4","66.8"
"Elic Ayomanor","TEN","21.5","287.8","2.6","0.0","0.0","0.0","0.0","65.8"
"Kalif Raymond","CHI","26.7","264.8","1.3","4.6","27.2","0.2","0.3","63.8"
"KaVontae Turpin","DAL","18.2","230.4","1.7","17.7","102.5","0.4","0.4","63.7"
"Calvin Austin III","NYG","21.1","280.8","2.3","0.0","0.0","0.0","0.1","62.8"
"Cedric Tillman","CLE","21.5","269.6","2.3","0.0","-0.5","0.0","0.0","61.9"
