Player,Pos,ppr_proj,sfb16_fpts_proj,QB,VOLS,VORP,VBD,vbd_rank
Puka Nacua,WR,365.3,634.0255097955344,FALSE,345.00444095592184,517.2139835283886,862.2184244843104,1
Jaxon Smith-Njigba,WR,352.4,611.41334596924,FALSE,322.3922771296275,494.6018197020942,816.9940968317217,2
Ja'Marr Chase,WR,338.6,587.2235893178554,FALSE,298.20252047824283,470.41206305070955,768.6145835289524,3
Bijan Robinson,RB,373.3,559.4708683931117,FALSE,270.44979955349913,442.65934212596585,713.109141679465,4
Jahmyr Gibbs,RB,373.1,559.1659644477301,FALSE,270.1448956081175,442.3544381805842,712.4993337887017,5
Amon-Ra St. Brown,WR,320.7,555.847020907726,FALSE,266.82595206811345,439.03549464058017,705.8614467086936,6
Josh Allen,QB,376.9,625.8407261297863,TRUE,181.0555517627963,509.02919986264044,690.0847516254368,7
Trey McBride,TE,261.4,528.2214466733391,FALSE,239.20037783372652,411.40992040619324,650.6102982399198,8
Rashee Rice,WR,296.1,512.7261503552577,FALSE,223.70508151564513,395.91462408811185,619.619705603757,9
Drake London,WR,296,512.5508622635809,FALSE,223.52979342396839,395.7393359964351,619.2691294204035,10
CeeDee Lamb,WR,284.4,492.2174436290837,FALSE,203.19637478947112,375.4059173619379,578.6022921514091,11
Christian McCaffrey,RB,325.1,485.9890175561407,FALSE,196.96794871652816,369.17749128899493,566.1454400055231,12
Jonathan Taylor,RB,322.8,482.482622184252,FALSE,193.46155334463947,365.6710959171062,559.1326492617457,13
Brock Bowers,TE,238.8,482.39658614509875,FALSE,193.3755173054862,365.585059877953,558.9605771834392,14
Jayden Daniels,QB,330.1,548.5286839537018,TRUE,103.74350958671187,431.717157686556,535.4606672732679,15
Justin Jefferson,WR,271.6,469.7805678944661,FALSE,180.75949905485356,352.9690416273203,533.7285406821738,16
Lamar Jackson,QB,327,543.4075871428927,TRUE,98.62241277590272,426.59606087574684,525.2184736516496,17
Drake Maye,QB,326.7,542.9119971289434,TRUE,98.12682276195346,426.1004708617976,524.227293623751,18
Jalen Hurts,QB,324.3,538.9472770173494,TRUE,94.16210265035943,422.13575075020356,516.297853400563,19
George Pickens,WR,266.2,460.3150109439242,FALSE,171.29394210431167,343.5034846767784,514.79742678109,20
De'Von Achane,RB,306.7,457.9378545810314,FALSE,168.91678574141883,341.12632831388555,510.0431140553044,21
Chris Olave,WR,262.8,454.35521582691644,FALSE,165.33414698730388,337.54368955977066,502.87783654707454,22
Jaxson Dart,QB,315.1,523.7491832562388,TRUE,78.96400888924882,406.93765698909294,485.90166587834176,23
Malik Nabers,WR,257.7,445.41552315140467,FALSE,156.39445431179212,328.6039968842589,484.998451196051,24
Brock Purdy,QB,314,521.9320198717581,TRUE,77.14684550476818,405.1204936046123,482.2673391093805,25
Joe Burrow,QB,311.5,517.8021030888476,TRUE,73.01692872185765,400.9905768217018,474.00750554355943,26
Nico Collins,WR,253.9,438.7545756676901,FALSE,149.73350682807757,321.9430494005443,471.67655622862185,27
Colston Loveland,TE,217,438.19384457361025,FALSE,149.1727757339977,321.3823183064644,470.5550940404621,28
Dak Prescott,QB,309.7,514.8285630051521,TRUE,70.04338863816213,398.01703673800625,468.0604253761684,29
Trevor Lawrence,QB,309.1,513.8373829772536,TRUE,69.05220861026362,397.02585671010775,466.07806532037137,30
Patrick Mahomes II,QB,307.6,511.35943290750726,TRUE,66.57425854051729,394.5479066403615,461.12216518087877,31
Zay Flowers,WR,249.5,431.04189963391525,FALSE,142.0208307943027,314.2303733667694,456.2512041610721,32
Chase Brown,RB,286,426.3802962340335,FALSE,137.35922739442094,309.56876996688766,446.9279973613086,33
Garrett Wilson,WR,246.2,425.25739260858415,FALSE,136.2363237689716,308.4458663414383,444.6821901104099,34
Justin Herbert,QB,302.4,502.7692059990533,TRUE,57.98403163206336,385.95767973190755,443.9417113639709,35
Ashton Jeanty,RB,284.1,423.4837087529081,FALSE,134.46263991329556,306.6721824857623,441.13482239905784,36
Derrick Henry,RB,281.1,418.91014957218374,FALSE,129.8890807325712,302.0986233050379,431.9877040376091,37
Tyler Warren,TE,207,417.9173576142118,FALSE,128.89628877459927,301.105831347066,430.00212012166526,38
Caleb Williams,QB,296.5,493.02260239138457,TRUE,48.2374280243946,376.21107612423873,424.44850414863333,39
Matthew Stafford,QB,296.4,492.85740572006813,TRUE,48.072231353078166,376.04587945292235,424.1181108060005,40
Bo Nix,QB,293.8,488.5622922658413,TRUE,43.777117898851316,371.75076599869544,415.52788389754676,41
A.J. Brown,WR,235.7,406.8521429825306,FALSE,117.83107414291806,290.0406167153848,407.8716908583028,42
Kyle Pitts Sr.,TE,201.1,405.9542303081668,FALSE,116.93316146855426,289.14270404102103,406.0758655095753,43
Baker Mayfield,QB,290.3,482.78040876976655,TRUE,37.99523440277659,365.9688825026208,403.96411690539736,44
DeVonta Smith,WR,234.2,404.22282160738007,FALSE,115.20175276776752,287.41129534023423,402.61304810800175,45
James Cook III,RB,270.1,402.14043257619454,FALSE,113.11936373658199,285.32890630904876,398.44827004563075,46
Daniel Jones,QB,286.6,476.66813193105907,TRUE,31.882957564069102,359.85660566391323,391.73956322798233,47
Saquon Barkley,RB,267,397.41442142277936,FALSE,108.3933525831668,280.6028951556335,388.9962477388003,48
Tee Higgins,WR,230.1,397.0360098486354,FALSE,108.01494100902283,280.2244835814896,388.23942459051244,49
Jared Goff,QB,284.2,472.7034118194649,TRUE,27.918237452474955,355.8918855523191,383.81012300479404,50
Tetairoa McMillan,WR,228.5,394.2314003818082,FALSE,105.21033154219566,277.41987411466243,382.6302056568581,51
Josh Jacobs,RB,264.6,393.7555740781999,FALSE,104.73450523858736,276.94404781105413,381.6785530496415,52
Harold Fannin Jr.,TE,193.9,391.3551596974,FALSE,102.33409085778743,274.5436334302542,376.87772428804163,53
Tyler Shough,QB,281.8,468.7386917078709,TRUE,23.95351734088092,351.92716544072505,375.88068278160597,54
Sam LaPorta,TE,193.6,390.746865088618,FALSE,101.72579624900544,273.9353388214722,375.66113507047766,55
Omarion Hampton,RB,262.4,390.401630679002,FALSE,101.38056183938943,273.59010441185615,374.9706662512456,56
Terry McLaurin,WR,225.3,388.6221814481538,FALSE,99.60111260854126,271.810655181008,371.41176778954923,57
Breece Hall,RB,258.9,385.0658116348236,FALSE,96.04474279521105,268.25428536767777,364.2990281628888,58
Davante Adams,WR,222.8,384.2399791562363,FALSE,95.21891031662375,267.4284528890905,362.64736320571427,59
Emeka Egbuka,WR,220.7,380.55892923102556,FALSE,91.537860391413,263.7474029638797,355.2852633552927,60
Jeremiyah Love,RB,255.9,380.4922524540993,FALSE,91.47118361448673,263.6807261869535,355.15190980144024,61
Dallas Goedert,TE,187.5,378.378208043385,FALSE,89.35713920377242,261.5666817762392,350.9238209800116,62
Malik Willis,QB,272.2,452.87981126149447,TRUE,8.094636894504504,336.0682849943487,344.1629218888532,63
Kyler Murray,QB,272.1,452.71461459017814,TRUE,7.92944022318818,335.9030883230323,343.8325285462205,64
Travis Kelce,TE,185.2,373.7146160427233,FALSE,84.69354720311077,256.90308977557754,341.5966369786883,65
Jameson Williams,WR,215.6,371.6192365555138,FALSE,82.59816771590124,254.80771028836799,337.4058780042692,66
Ladd McConkey,WR,215.3,371.0933722804838,FALSE,82.07230344087122,254.28184601333797,336.35414945420916,67
Rome Odunze,WR,214.2,369.16520327204,FALSE,80.14413443242745,252.3536770048942,332.4978114373216,68
Kenneth Walker III,RB,248.1,368.60099858421603,FALSE,79.57992974460348,251.78947231707022,331.36940206167367,69
C.J. Stroud,QB,268.2,446.27194440883767,TRUE,1.4867700418477057,329.4604181416919,330.9471881835396,70
Jordan Love,QB,268,445.94155106620485,TRUE,1.1563766992148885,329.130024799059,330.2864014982739,71
Sam Darnold,QB,267.3,444.78517436698996,TRUE,0,327.9736480998441,327.9736480998441,72
Courtland Sutton,WR,212.2,365.659441438506,FALSE,76.63837259889345,248.8479151713602,325.4862877702536,73
Alec Pierce,WR,212.2,365.659441438506,FALSE,76.63837259889345,248.8479151713602,325.4862877702536,73
George Kittle,TE,181.1,365.40125638937,FALSE,76.38018754975747,248.5897301222242,324.96991767198165,75
Jaylen Waddle,WR,211.7,364.7830009801225,FALSE,75.76193214050994,247.9714747129767,323.7334068534866,76
