playerKey,playerId,name,position,projMikeClayBasePts,projFantasyProsBasePts,projSleeperBasePts,tradyrIsRookie,lastSeasonSfb,pre_bonus_proj_pts,pos_rank_prebonus,tier_bonus,proj_pts,weekly_pts,VOLS,VORP,VBD,vbd_rank,adp,value_vs_adp,tier,pos_tier
puka-nacua,9493,Puka Nacua,WR,297.1,296.62,261,FALSE,719.5,287.895,1,298,605.93575,35.6432794117647,378.9443125,480.74675,859.6910625,1,4.49,3.49,1,1
jaxon-smith-njigba,9488,Jaxon Smith-Njigba,WR,271.9,281.93,237.1,FALSE,697.9,266.96125,3,298,584.9020625,34.40600367647059,357.9106250000001,459.7130625000001,817.6236875000002,2,7.31,5.31,1,1
ja-marr-chase,7564,Ja'Marr Chase,WR,278.3,276.92,252.6,FALSE,505.6,271.3575,2,298,559.7938750000001,32.92905147058824,332.8024375000001,434.6048750000001,767.4073125000002,3,3.96,0.96,2,1
amon-ra-st-brown,7547,Amon-Ra St. Brown,WR,263.3,261.71,229.5,FALSE,536,254.25375,4,298,549.8156875,32.34209926470588,322.82425,424.6266875,747.4509375,4,13.69,9.69,2,1
josh-allen,4984,Josh Allen,QB,443.7,446.25,431.5,FALSE,606.62,441.60625,1,178.33,617.9388125,36.34934191176471,246.68925000000013,492.7498125000001,739.4390625000002,5,4.27,-0.7300000000000004,2,1
ceedee-lamb,6786,CeeDee Lamb,WR,245.4,224.92,224.5,FALSE,403.4,232.495,5,298,511.43075,30.084161764705883,284.4393125,386.24175,670.6810625,6,15.09,9.09,3,1
drake-maye,11564,Drake Maye,QB,403,405.09,395.76,FALSE,522.46,401.97375,2,178.33,571.6271875,33.62512867647059,200.37762500000008,446.4381875,646.8158125000001,7,11.48,4.48,3,2
bijan-robinson,9509,Bijan Robinson,RB,312.3,334.23,296.9,FALSE,630.3,316.67375000000004,2,157,497.16768750000006,29.245158088235296,270.1762500000001,371.9786875000001,642.1549375000002,8,3.19,-4.8100000000000005,3,1
jahmyr-gibbs,9221,Jahmyr Gibbs,RB,328,338.96,279.9,FALSE,583.4,320.085,1,157,493.03225,29.001897058823527,266.0408125,367.84325,633.8840625,9,3.3,-5.7,3,1
justin-jefferson,6794,Justin Jefferson,WR,236.1,220.79,202.1,FALSE,332,221.85875,6,298,491.6799375,28.922349264705883,264.6885,366.4909375,631.1794375,10,15.66,5.66,3,1
trey-mcbride,8130,Trey McBride,TE,310.8,321.74,292.4,FALSE,606.9,310.3025,1,147.67,480.31162499999994,28.253624999999996,253.32018749999995,355.12262499999997,608.4428125,11,9.52,-1.4800000000000004,4,1
christian-mccaffrey,4034,Christian McCaffrey,RB,314.1,305.23,260,FALSE,616.6,297.24875000000003,3,157,478.60143750000003,28.15302573529412,251.61000000000004,353.4124375,605.0224375,12,9.78,-2.2200000000000006,4,1
jalen-hurts,6904,Jalen Hurts,QB,392.96,386.37,366.54,FALSE,485.06,383.88375,5,178.33,550.6406875,32.39062867647059,179.3911250000001,425.45168750000005,604.84281250000015,13,33.8,20.799999999999997,4,2
lamar-jackson,4881,Lamar Jackson,QB,402.36,398.95,390,FALSE,347.86,397.99125,3,178.33,542.0520624999999,31.885415441176466,170.8025,416.86306249999996,587.6655625,14,15.04,1.0399999999999991,5,2
jonathan-taylor,6813,Jonathan Taylor,RB,287.1,291.31,258.3,FALSE,550.8,281.47875,4,157,455.3269375,26.7839375,228.3355,330.1379375,558.4734375,15,13.87,-1.1300000000000008,6,1
dak-prescott,3294,Dak Prescott,QB,375.08,384.67,382.88,FALSE,584.28,380.62625,7,134,525.0743125,30.886724264705883,153.8247500000001,399.88531250000005,553.7100625000002,16,39.8,23.799999999999997,6,2
matthew-stafford,421,Matthew Stafford,QB,391.18,376.18,359.22,FALSE,594.38,377.565,9,134,523.98725,30.822779411764706,152.7376875000001,398.79825000000005,551.5359375000002,17,72.47,55.47,6,2
george-pickens,8137,George Pickens,WR,199.6,211.96,197.9,FALSE,547.4,203.81,11,229.67,450.56800000000004,26.504,223.57656250000005,325.379,548.9555625,18,29.58,11.579999999999998,6,2
joe-burrow,6770,Joe Burrow,QB,393.7,392.85,388.12,FALSE,210.96,391.98625000000004,4,178.33,516.4128125000001,30.377224264705887,145.16325000000018,391.2238125000001,536.3870625000003,19,17.39,-1.6099999999999994,7,2
drake-london,8112,Drake London,WR,218.7,240.29,197.7,FALSE,369.4,221.54625,7,229.67,438.9438124999999,25.820224264705878,211.95237499999993,313.75481249999996,525.7071874999999,20,20.34,0.33999999999999986,8,2
nico-collins,7569,Nico Collins,WR,207.5,209.6,198,FALSE,433.7,205.9125,10,229.67,435.300125,25.60588970588235,208.3086875,310.111125,518.4198125,21,26.64,5.640000000000001,9,2
trevor-lawrence,7523,Trevor Lawrence,QB,370.56,0,373.42,FALSE,511.68,371.704,10,134,506.6004,29.800023529411764,135.35083750000007,381.41139999999996,516.7622375000001,22,42.83,20.83,9,3
justin-herbert,6797,Justin Herbert,QB,362.44,370.02,373.3,FALSE,524.88,367.9975,12,134,505.42987500000004,29.73116911764706,134.18031250000013,380.2408750000001,514.4211875000002,23,34.39,11.39,9,3
de-von-achane,9226,De'Von Achane,RB,266.5,277.23,226,FALSE,512.8,260.39875,5,157,431.70893749999993,25.39464338235294,204.71749999999994,306.51993749999997,511.23743749999994,24,21.73,-2.2699999999999996,9,1
jayden-daniels,11566,Jayden Daniels,QB,383.16,389.23,372.72,FALSE,166.28,382.82625,6,178.33,501.9248125,29.524988970588232,130.67525000000006,376.73581249999995,507.4110625,25,17.99,-7.010000000000002,9,3
aj-brown,5859,A.J. Brown,WR,206.5,213.38,195.8,FALSE,391.3,206.405,9,229.67,429.35875,25.256397058823527,202.3673125,304.16975,506.53706250000005,26,32.3,6.299999999999997,9,2
derrick-henry,3198,Derrick Henry,RB,263.5,267.52,240.2,FALSE,471.5,259.1825,6,157,424.48012500000004,24.96941911764706,197.48868750000005,299.2911250000001,496.77981250000016,27,36.62,9.619999999999997,10,1
brock-bowers,11604,Brock Bowers,TE,290.1,292.08,283,FALSE,351.7,289.0675,2,147.67,423.98187499999995,24.940110294117645,196.99043749999996,298.792875,495.78331249999997,28,6.82,-21.18,10,1
chris-olave,8144,Chris Olave,WR,197.2,210.84,191.8,FALSE,382,200.96499999999997,12,229.67,423.33975,24.902338235294117,196.3483125,298.15075,494.49906250000004,29,36.36,7.359999999999999,10,2
rashee-rice,10229,Rashee Rice,WR,225.6,225.42,164,FALSE,245.6,210.1325,8,229.67,410.672125,24.15718382352941,183.6806875,285.483125,469.16381249999995,30,44.91,14.909999999999997,11,2
brock-purdy,8183,Brock Purdy,QB,380.94,384.82,372.66,FALSE,277.88,380.325,8,134,478.85825000000006,28.16813235294118,107.60868750000014,353.66925000000003,461.2779375000002,31,52.33,21.33,12,4
jaxson-dart,12508,Jaxson Dart,QB,370.9,373.25,364.54,FALSE,330.08,370.19124999999997,11,134,478.07456249999996,28.12203308823529,106.82500000000005,352.8855625,459.71056250000004,32,41.91,9.909999999999997,12,4
bo-nix,11563,Bo Nix,QB,370.34,366.25,365.72,FALSE,500.84,367.65125,13,89,463.2795625,27.251738970588235,92.03000000000009,338.09056250000003,430.1205625000001,33,54.35,21.35,13,5
jared-goff,3163,Jared Goff,QB,353.22,367.57,359.46,FALSE,533.56,360.16125,16,89,461.8210625,27.165944852941177,90.57150000000007,336.63206249999996,427.20356250000003,34,67.3,33.3,13,5
tyler-warren,12518,Tyler Warren,TE,248.9,243.8,229.2,FALSE,384.5,242.0625,4,147.67,388.94762499999996,22.879272058823528,161.95618749999997,263.75862499999994,425.7148124999999,35,35.34,0.3400000000000034,13,1
james-cook,8138,James Cook,RB,266.2,258.37,249.3,FALSE,534.2,259.03875,7,103,387.8629375,22.815466911764705,160.8715,262.67393749999997,423.54543749999993,36,16.66,-19.34,13,1
zay-flowers,9997,Zay Flowers,WR,200,205.61,187.2,FALSE,458.8,198.90375,13,176.33,387.7686875,22.809922794117647,160.77725,262.5796875,423.35693749999996,37,54.09,17.090000000000003,13,3
caleb-williams,11560,Caleb Williams,QB,353.04,369.91,371.34,FALSE,490.18,363.94125,15,89,458.5270625,26.972180147058822,87.27750000000009,333.3380625,420.61556250000007,38,26.88,-11.120000000000001,13,5
colston-loveland,12517,Colston Loveland,TE,245.7,246.88,238.9,FALSE,349.1,244.4425,3,147.67,385.660625,22.685919117647057,158.6691875,260.471625,419.14081250000004,39,24.72,-14.280000000000001,13,1
